Id,Response
1,3
3,7
4,7
9,7
12,8
13,8
21,6
28,8
30,6
36,8
38,8
43,7
45,4
48,8
50,5
51,8
54,6
55,6
59,8
62,4
63,8
66,8
69,8
82,8
83,6
84,7
86,8
89,8
90,5
92,8
98,7
100,3
105,5
115,8
119,3
124,4
127,8
133,8
140,5
141,8
143,2
151,3
154,7
157,8
163,6
166,3
168,8
170,3
173,8
180,7
182,8
184,4
185,8
195,8
196,6
197,6
212,5
213,7
219,8
225,5
227,4
232,5
239,6
247,4
251,5
254,5
261,7
264,7
267,7
272,7
275,8
277,3
283,8
284,2
287,7
291,8
293,5
294,5
305,7
307,4
309,8
311,5
322,4
323,4
326,6
330,3
335,7
337,7
338,5
341,1
346,6
348,5
352,3
356,8
358,3
366,7
369,6
373,6
375,3
381,6
384,8
386,5
396,7
397,2
399,8
405,8
412,8
417,2
421,6
425,8
427,8
430,5
432,6
433,7
436,8
438,7
441,8
442,6
444,6
446,8
448,5
450,6
454,8
465,8
470,5
472,5
475,7
484,8
495,8
497,8
498,8
501,6
502,6
505,8
515,4
516,6
527,8
529,3
531,7
533,6
537,3
541,7
546,7
548,7
549,8
550,7
553,7
559,8
561,5
564,2
574,6
578,6
579,6
580,8
582,5
584,8
588,7
596,5
602,5
603,4
613,7
614,2
619,8
620,6
624,7
625,7
628,6
630,7
635,8
636,4
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,6
667,7
670,8
672,7
674,8
676,7
684,8
685,4
693,5
694,8
700,3
702,6
703,7
705,7
711,8
718,2
722,7
726,4
727,2
732,8
735,8
740,4
748,8
750,6
751,8
756,7
762,6
766,8
770,8
771,7
779,7
782,4
784,8
793,6
798,5
800,7
801,7
805,7
807,5
813,8
819,7
820,7
822,8
823,7
833,8
834,6
842,3
845,6
856,8
860,5
864,3
869,7
872,8
877,3
878,7
893,6
894,8
896,5
899,6
900,7
911,2
914,8
917,1
919,8
923,2
925,6
926,5
934,7
938,7
940,6
955,7
956,6
971,7
973,8
978,8
979,8
981,7
988,7
990,7
992,5
996,7
997,7
999,4
1000,7
1006,5
1009,4
1018,6
1025,4
1038,7
1042,8
1045,6
1046,8
1047,6
1050,6
1052,7
1054,8
1057,7
1061,3
1069,5
1071,6
1073,6
1074,8
1075,5
1083,6
1084,2
1089,4
1099,5
1103,4
1110,8
1123,8
1130,7
1135,7
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,6
1170,7
1172,8
1178,6
1179,8
1181,3
1182,7
1183,8
1191,5
1192,2
1200,3
1205,7
1207,7
1208,4
1209,3
1217,5
1223,8
1225,8
1226,4
1228,3
1230,5
1232,8
1235,8
1237,6
1257,7
1266,2
1267,6
1274,8
1277,8
1278,5
1280,8
1282,8
1293,6
1294,4
1305,8
1306,6
1311,7
1318,6
1320,8
1323,7
1325,4
1328,7
1336,5
1340,7
1341,8
1344,7
1345,6
1348,3
1358,1
1361,8
1364,6
1373,7
1377,6
1378,8
1380,6
1382,8
1383,5
1386,8
1387,2
1390,4
1395,8
1398,7
1402,5
1403,8
1405,7
1407,8
1410,1
1412,2
1419,3
1426,7
1428,8
1436,6
1437,3
1438,4
1441,8
1444,3
1448,5
1454,6
1457,5
1459,8
1463,8
1467,4
1471,7
1475,6
1476,4
1480,7
1481,4
1482,7
1489,6
1491,7
1494,8
1496,7
1500,8
1501,8
1503,6
1504,4
1505,4
1515,5
1517,7
1520,5
1521,4
1523,8
1526,7
1529,6
1530,7
1543,6
1544,8
1547,7
1550,8
1552,7
1554,6
1563,7
1574,5
1575,2
1576,6
1579,5
1582,4
1584,8
1585,8
1589,6
1596,8
1598,3
1611,8
1613,3
1615,5
1618,6
1627,7
1630,3
1638,8
1639,7
1640,8
1642,8
1645,7
1648,6
1654,5
1661,7
1662,7
1663,7
1666,7
1668,3
1670,3
1672,7
1681,7
1682,7
1683,3
1687,8
1688,8
1693,7
1694,7
1700,8
1704,6
1712,8
1716,8
1717,7
1722,7
1724,4
1738,2
1739,2
1740,8
1761,8
1763,6
1765,8
1766,6
1767,7
1771,6
1772,8
1777,8
1784,4
1799,6
1806,8
1810,3
1812,7
1814,3
1818,6
1819,8
1822,5
1823,8
1824,3
1834,6
1835,7
1844,6
1848,6
1849,8
1850,6
1851,4
1856,2
1862,2
1863,7
1872,7
1874,6
1875,8
1877,6
1900,8
1902,7
1904,6
1905,2
1908,8
1914,8
1916,3
1922,4
1933,7
1934,5
1939,7
1942,6
1947,8
1957,8
1971,8
1973,3
1974,6
1977,8
1981,7
1985,8
1987,6
1989,7
2001,4
2002,4
2007,2
2008,8
2011,6
2021,6
2034,7
2040,8
2044,5
2045,8
2048,8
2051,7
2062,8
2066,2
2068,5
2069,4
2074,8
2075,8
2078,8
2079,1
2080,2
2081,5
2084,2
2085,7
2087,8
2096,5
2102,7
2103,6
2107,8
2117,6
2118,2
2120,7
2121,4
2122,5
2130,8
2136,6
2138,8
2140,7
2143,7
2144,5
2145,5
2147,8
2150,3
2154,8
2155,2
2166,7
2169,3
2173,6
2176,2
2178,8
2179,6
2180,8
2184,8
2185,8
2188,7
2190,8
2194,7
2195,8
2198,5
2205,8
2206,7
2207,4
2212,6
2213,7
2216,8
2218,2
2224,8
2225,8
2228,8
2236,6
2242,8
2246,4
2250,8
2255,6
2256,2
2267,5
2268,7
2269,6
2272,4
2275,3
2280,8
2282,8
2287,8
2289,8
2293,8
2296,7
2307,7
2309,6
2313,6
2325,7
2327,8
2336,4
2339,7
2342,8
2347,8
2350,4
2360,6
2364,8
2369,2
2379,3
2394,8
2395,4
2399,8
2402,7
2410,8
2416,7
2420,8
2427,6
2434,8
2435,8
2441,8
2447,6
2452,6
2463,7
2467,4
2468,8
2470,6
2476,6
2483,2
2487,4
2492,8
2502,7
2504,5
2510,8
2511,2
2512,8
2517,8
2520,8
2521,8
2523,7
2524,4
2525,6
2526,5
2528,8
2530,4
2532,5
2536,5
2540,6
2541,6
2543,7
2549,8
2550,2
2556,6
2557,7
2559,7
2565,8
2566,8
2567,2
2568,5
2570,8
2573,8
2577,7
2578,7
2583,3
2586,6
2587,4
2588,8
2591,8
2597,7
2606,8
2607,8
2608,7
2611,2
2612,7
2613,7
2616,8
2621,8
2622,7
2634,8
2639,7
2642,2
2644,6
2650,2
2655,8
2664,7
2667,7
2670,6
2679,3
2681,7
2683,8
2685,8
2687,8
2696,5
2699,8
2712,2
2716,8
2720,7
2725,7
2726,8
2731,6
2733,6
2740,8
2742,7
2748,6
2749,8
2763,7
2771,8
2772,6
2773,5
2783,8
2784,8
2789,1
2796,6
2798,5
2799,7
2800,5
2802,8
2805,5
2809,6
2816,8
2817,7
2821,7
2822,7
2829,7
2832,5
2842,7
2844,7
2846,4
2851,5
2852,6
2853,8
2856,7
2862,4
2866,7
2868,5
2886,8
2892,6
2893,4
2898,8
2917,5
2923,3
2927,6
2930,8
2931,3
2935,8
2936,6
2961,3
2964,8
2967,7
2968,8
2970,7
2977,5
2978,8
2979,8
2985,3
2986,3
2989,7
2997,5
2999,8
3004,7
3008,7
3010,5
3020,8
3022,8
3024,6
3027,8
3032,8
3033,8
3048,4
3053,7
3056,8
3070,8
3071,2
3073,8
3080,8
3098,8
3099,3
3109,8
3110,8
3115,2
3121,7
3128,7
3132,3
3133,3
3141,8
3144,6
3145,6
3154,8
3159,8
3164,5
3168,2
3172,3
3176,4
3186,8
3193,6
3196,7
3199,3
3200,8
3209,7
3210,7
3214,6
3229,7
3230,7
3233,8
3242,4
3244,3
3249,6
3251,4
3253,3
3264,6
3271,3
3272,8
3274,8
3276,3
3280,5
3282,6
3285,7
3297,5
3298,8
3307,4
3309,8
3310,8
3312,6
3314,8
3315,4
3316,7
3319,6
3322,8
3327,7
3332,6
3334,8
3336,2
3338,7
3340,7
3343,3
3352,8
3353,6
3356,8
3357,8
3360,7
3365,8
3366,8
3367,8
3369,8
3374,4
3376,6
3381,8
3385,6
3386,7
3397,8
3403,5
3409,4
3414,8
3415,8
3423,7
3427,7
3428,8
3439,6
3441,8
3442,2
3447,6
3453,7
3456,5
3458,5
3459,6
3462,7
3464,8
3477,8
3480,4
3483,8
3490,7
3497,7
3498,8
3500,6
3504,6
3509,2
3510,8
3511,7
3525,5
3528,6
3529,1
3531,6
3532,8
3536,8
3537,3
3538,6
3547,3
3557,6
3572,8
3573,7
3588,7
3590,7
3597,7
3601,6
3602,8
3608,8
3611,6
3616,7
3619,7
3623,6
3638,5
3641,6
3643,8
3647,4
3648,7
3662,5
3663,8
3665,5
3679,7
3683,6
3692,6
3700,8
3705,6
3706,8
3711,8
3712,6
3716,4
3725,6
3727,8
3739,8
3740,5
3743,6
3744,3
3750,8
3751,6
3752,2
3753,6
3754,3
3761,8
3762,8
3764,3
3773,8
3774,5
3775,7
3776,8
3785,4
3788,8
3791,5
3792,7
3794,5
3797,7
3798,8
3807,4
3808,8
3810,7
3813,7
3815,8
3818,7
3820,3
3824,8
3832,8
3836,8
3837,6
3849,7
3853,6
3861,4
3862,6
3863,5
3867,4
3868,7
3871,8
3873,4
3874,8
3879,7
3881,7
3883,8
3887,6
3888,6
3889,4
3898,3
3901,8
3904,3
3905,5
3907,6
3911,3
3915,6
3917,6
3923,7
3925,3
3931,6
3934,8
3943,7
3946,5
3947,6
3949,6
3958,5
3959,8
3960,5
3969,8
3971,8
3973,6
3976,8
3979,7
3982,8
3992,8
3993,6
3995,7
3997,6
4002,8
4003,8
4006,8
4010,8
4011,6
4012,8
4019,8
4020,3
4026,6
4030,3
4033,6
4034,8
4038,2
4045,7
4046,8
4047,1
4048,8
4055,7
4061,6
4063,2
4066,8
4069,8
4076,8
4081,8
4086,8
4087,8
4094,8
4096,3
4105,4
4107,6
4110,5
4115,7
4128,4
4131,8
4136,2
4140,4
4141,6
4142,8
4146,7
4156,6
4159,8
4171,7
4174,2
4175,3
4180,8
4187,7
4191,4
4193,6
4197,8
4201,6
4203,4
4205,6
4206,3
4209,8
4213,8
4215,6
4220,8
4223,8
4225,7
4234,2
4241,6
4244,8
4247,5
4254,6
4255,3
4262,5
4263,8
4266,3
4269,8
4270,3
4271,4
4274,7
4279,7
4286,2
4287,6
4288,8
4290,2
4294,8
4296,7
4299,6
4302,8
4316,8
4320,6
4321,4
4324,3
4325,3
4326,7
4332,7
4334,8
4343,8
4348,7
4350,8
4353,6
4356,7
4361,6
4367,5
4369,8
4371,8
4373,6
4374,2
4376,8
4393,3
4394,6
4397,2
4398,6
4404,8
4410,7
4411,4
4412,8
4414,5
4415,8
4418,2
4420,7
4426,7
4427,7
4430,2
4431,4
4435,8
4437,5
4438,8
4458,6
4461,6
4462,4
4464,5
4482,8
4484,7
4489,3
4494,8
4496,8
4503,7
4508,3
4515,5
4516,8
4517,7
4518,6
4524,5
4525,3
4527,8
4529,8
4535,6
4538,2
4544,6
4545,4
4550,6
4551,7
4554,8
4563,7
4565,8
4573,6
4576,8
4578,8
4587,7
4590,4
4597,4
4600,8
4608,8
4612,4
4615,8
4616,8
4618,6
4620,5
4622,5
4624,7
4628,6
4631,8
4633,8
4646,6
4648,1
4655,6
4669,8
4673,6
4677,8
4680,8
4683,4
4691,3
4694,8
4697,8
4698,3
4704,8
4711,6
4713,6
4716,5
4724,6
4727,8
4730,7
4731,7
4732,6
4741,3
4742,8
4743,6
4753,8
4758,7
4762,1
4765,5
4782,2
4787,8
4788,8
4789,2
4790,8
4792,8
4797,6
4805,6
4806,8
4809,6
4814,8
4823,8
4825,2
4830,6
4832,6
4833,3
4840,5
4841,7
4844,8
4845,8
4849,6
4858,7
4870,7
4875,8
4877,8
4882,6
4891,7
4900,6
4905,8
4907,6
4908,8
4923,7
4924,7
4925,8
4927,6
4933,8
4935,8
4941,3
4944,8
4946,4
4953,6
4956,2
4968,4
4985,2
4989,8
4995,1
5005,6
5010,2
5016,8
5018,8
5029,4
5031,6
5037,5
5039,7
5041,6
5043,6
5052,7
5055,6
5059,7
5063,8
5067,8
5070,7
5072,7
5073,6
5079,8
5086,7
5093,8
5094,2
5098,8
5101,8
5108,4
5112,8
5113,8
5119,8
5120,6
5121,6
5126,8
5127,8
5128,8
5131,4
5137,3
5146,8
5148,6
5150,7
5159,8
5160,8
5163,3
5170,8
5177,4
5179,8
5185,7
5188,8
5190,7
5191,6
5192,7
5195,5
5198,6
5208,5
5214,8
5215,8
5219,4
5220,8
5223,3
5224,3
5225,7
5227,4
5229,8
5231,2
5236,6
5237,7
5238,7
5240,6
5248,8
5252,8
5256,6
5269,8
5270,4
5272,7
5275,8
5276,6
5279,8
5280,3
5281,8
5291,5
5292,8
5294,2
5296,8
5302,8
5307,8
5312,8
5313,6
5314,8
5315,6
5316,7
5317,7
5318,7
5321,6
5322,8
5323,5
5324,8
5334,8
5343,3
5344,2
5345,6
5355,3
5364,7
5369,8
5371,8
5380,8
5385,2
5392,4
5395,8
5396,8
5398,8
5400,7
5402,8
5411,7
5412,3
5414,6
5417,6
5424,8
5427,7
5428,6
5430,6
5432,6
5438,3
5448,7
5459,3
5460,7
5461,7
5463,4
5477,4
5479,7
5481,8
5482,6
5491,6
5493,8
5506,7
5507,2
5517,8
5532,7
5533,7
5534,8
5541,8
5542,5
5548,2
5551,2
5553,6
5554,7
5565,7
5574,7
5575,8
5576,3
5583,5
5584,3
5586,2
5587,4
5588,8
5596,8
5597,8
5601,8
5603,7
5613,6
5614,8
5618,7
5619,8
5621,8
5622,8
5627,8
5628,4
5630,8
5633,2
5639,5
5643,7
5649,8
5653,7
5655,7
5664,2
5667,5
5670,8
5674,3
5678,8
5680,4
5687,4
5692,6
5694,6
5697,8
5701,6
5704,8
5710,6
5711,5
5716,4
5724,8
5725,3
5726,4
5727,7
5731,7
5749,5
5751,8
5755,6
5756,7
5761,8
5767,4
5768,5
5770,8
5772,3
5773,7
5775,8
5776,7
5784,2
5792,1
5793,7
5794,8
5797,7
5799,7
5800,8
5805,6
5809,8
5813,3
5817,8
5824,7
5829,3
5832,2
5835,4
5837,2
5847,8
5854,7
5857,6
5860,8
5872,5
5874,8
5876,4
5880,7
5882,6
5891,6
5892,2
5906,7
5922,8
5923,7
5927,6
5929,6
5941,3
5942,4
5945,8
5947,7
5950,8
5951,8
5952,4
5960,8
5965,7
5967,7
5974,8
5977,2
5984,4
5987,8
5991,6
5996,3
5997,7
6002,2
6005,6
6008,8
6009,3
6014,6
6027,7
6030,3
6033,8
6034,5
6035,8
6043,8
6046,5
6047,6
6048,8
6070,5
6071,6
6085,2
6090,7
6091,8
6092,6
6098,7
6106,7
6108,8
6111,2
6115,8
6117,3
6121,5
6124,6
6126,8
6129,7
6131,8
6141,7
6142,3
6143,4
6144,5
6147,6
6148,5
6155,6
6158,3
6159,3
6162,5
6166,8
6172,2
6177,3
6178,8
6181,6
6182,8
6185,7
6191,8
6195,8
6204,7
6205,8
6211,7
6212,8
6219,7
6220,7
6223,5
6226,8
6239,6
6243,8
6249,2
6252,8
6255,5
6260,3
6261,8
6263,5
6264,6
6270,2
6271,7
6272,6
6274,8
6277,3
6280,7
6284,7
6286,4
6288,4
6290,8
6293,6
6299,6
6301,7
6304,4
6306,5
6308,8
6309,7
6312,8
6321,6
6322,4
6331,4
6335,7
6340,7
6343,8
6344,3
6347,5
6348,5
6349,8
6350,8
6354,8
6355,6
6362,4
6367,7
6372,7
6375,8
6379,3
6384,4
6386,8
6390,7
6396,4
6401,2
6403,7
6408,5
6410,5
6420,8
6430,8
6436,7
6440,8
6442,8
6443,8
6444,5
6459,8
6466,6
6469,7
6474,8
6475,3
6476,2
6490,3
6491,4
6496,3
6497,6
6498,6
6499,8
6501,5
6514,1
6515,4
6524,8
6526,2
6532,7
6537,5
6538,7
6541,5
6546,5
6551,1
6554,5
6557,5
6560,5
6565,7
6566,6
6578,3
6582,8
6587,7
6593,7
6596,7
6611,8
6615,7
6620,8
6626,6
6627,7
6628,8
6635,6
6639,7
6641,6
6645,6
6660,8
6663,7
6669,7
6674,5
6682,7
6685,4
6687,8
6692,6
6695,8
6696,2
6699,6
6700,6
6701,7
6705,3
6707,6
6709,8
6711,8
6714,3
6722,6
6723,7
6724,7
6726,4
6733,8
6734,8
6735,8
6736,6
6738,5
6741,8
6746,7
6754,8
6758,2
6763,2
6764,4
6768,8
6778,3
6784,7
6785,6
6787,8
6806,5
6825,5
6830,2
6831,7
6832,6
6833,4
6835,3
6842,8
6843,2
6853,6
6859,3
6860,4
6862,6
6867,3
6868,7
6885,8
6888,4
6889,7
6897,2
6898,2
6900,7
6902,4
6903,5
6907,2
6909,1
6911,1
6925,7
6930,6
6931,4
6933,4
6937,7
6941,2
6948,6
6950,8
6956,7
6957,8
6960,8
6962,5
6969,3
6971,3
6973,3
6980,8
6983,5
6985,6
6999,8
7005,8
7006,8
7007,7
7012,3
7013,6
7016,5
7017,8
7020,5
7024,6
7026,2
7027,2
7029,5
7032,4
7034,8
7044,8
7054,3
7057,8
7058,7
7060,7
7065,7
7069,6
7071,7
7076,2
7077,6
7081,2
7082,3
7093,8
7095,2
7098,4
7099,2
7105,1
7106,6
7122,6
7129,8
7130,7
7135,6
7136,2
7137,2
7138,8
7141,7
7143,7
7159,8
7162,8
7165,5
7169,4
7171,5
7172,7
7175,7
7178,6
7182,7
7190,7
7194,3
7196,7
7205,8
7207,7
7210,8
7211,5
7216,8
7219,4
7222,6
7224,8
7234,6
7237,7
7242,3
7246,7
7247,1
7251,4
7252,5
7257,4
7276,6
7281,6
7286,8
7287,5
7295,7
7297,6
7300,7
7307,8
7308,2
7310,5
7315,1
7317,7
7318,7
7322,6
7325,7
7326,8
7332,6
7342,8
7345,8
7347,4
7349,6
7352,6
7353,1
7354,8
7370,8
7392,8
7394,8
7396,7
7397,6
7400,8
7402,3
7406,8
7409,8
7410,8
7412,8
7414,3
7419,7
7420,6
7421,8
7424,6
7428,2
7431,8
7435,8
7437,8
7445,6
7449,6
7456,8
7458,8
7459,5
7463,2
7464,6
7465,8
7467,8
7471,3
7472,7
7485,5
7494,2
7505,6
7511,8
7512,8
7513,3
7514,2
7515,5
7523,3
7530,7
7531,8
7536,8
7538,8
7542,4
7543,8
7549,5
7557,7
7559,7
7560,8
7563,6
7564,7
7567,8
7572,8
7575,3
7588,6
7595,5
7596,7
7602,7
7609,6
7612,7
7613,2
7621,6
7622,7
7624,8
7625,7
7629,8
7632,7
7634,7
7636,8
7637,2
7638,4
7640,3
7643,8
7648,8
7653,3
7654,8
7662,7
7671,8
7674,6
7682,5
7683,8
7686,6
7690,4
7692,8
7694,5
7695,4
7700,6
7714,4
7715,8
7721,8
7728,8
7737,6
7739,5
7745,3
7747,5
7761,8
7762,8
7763,6
7770,4
7771,6
7774,8
7776,3
7779,6
7793,6
7795,8
7796,8
7800,8
7803,7
7808,6
7811,8
7812,6
7813,2
7814,6
7818,3
7826,7
7827,8
7831,8
7834,6
7837,5
7841,8
7842,8
7843,4
7844,8
7851,8
7854,8
7856,8
7859,8
7866,6
7869,8
7870,6
7872,2
7886,6
7892,7
7893,7
