Id,Response
1,4
3,6
4,6
9,6
12,7
13,7
21,6
28,7
30,4
36,7
38,8
43,6
45,4
48,7
50,6
51,7
54,6
55,7
59,7
62,4
63,7
66,7
69,8
82,8
83,6
84,6
86,7
89,8
90,4
92,7
98,6
100,2
105,5
115,8
119,2
124,2
127,7
133,7
140,5
141,8
143,2
151,4
154,7
157,7
163,5
166,2
168,8
170,5
173,7
180,6
182,7
184,5
185,7
195,7
196,6
197,5
212,5
213,7
219,8
225,4
227,5
232,5
239,5
247,5
251,4
254,5
261,6
264,6
267,7
272,7
275,7
277,4
283,6
284,2
287,7
291,8
293,5
294,4
305,6
307,5
309,7
311,4
322,4
323,4
326,6
330,2
335,7
337,7
338,5
341,2
346,6
348,6
352,4
356,8
358,4
366,6
369,4
373,6
375,4
381,5
384,7
386,5
396,7
397,2
399,6
405,8
412,7
417,4
421,5
425,7
427,7
430,5
432,5
433,7
436,7
438,7
441,8
442,5
444,5
446,7
448,7
450,5
454,7
465,7
470,5
472,4
475,7
484,8
495,7
497,8
498,7
501,4
502,6
505,7
515,4
516,6
527,7
529,2
531,7
533,6
537,2
541,7
546,8
548,5
549,8
550,6
553,7
559,7
561,2
564,2
574,5
578,6
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,4
613,7
614,2
619,7
620,6
624,5
625,7
628,5
630,6
635,7
636,5
637,8
641,7
644,7
648,8
654,7
658,5
664,7
666,6
667,7
670,8
672,5
674,8
676,7
684,8
685,5
693,2
694,7
700,2
702,6
703,5
705,5
711,7
718,2
722,7
726,5
727,4
732,8
735,7
740,5
748,6
750,6
751,8
756,7
762,6
766,7
770,6
771,4
779,6
782,4
784,7
793,6
798,5
800,6
801,7
805,6
807,4
813,7
819,7
820,6
822,8
823,6
833,8
834,6
842,2
845,6
856,5
860,5
864,2
869,7
872,7
877,5
878,7
893,6
894,7
896,6
899,5
900,6
911,2
914,6
917,1
919,7
923,2
925,6
926,2
934,6
938,7
940,6
955,5
956,6
971,6
973,8
978,7
979,8
981,7
988,7
990,7
992,4
996,7
997,5
999,5
1000,7
1006,6
