Id,Response
1,4
3,6
4,6
9,5
12,7
13,7
21,6
28,7
30,4
36,7
38,8
43,6
45,4
48,7
50,6
51,6
54,5
55,7
59,7
62,2
63,8
66,7
69,8
82,8
83,5
84,6
86,7
89,8
90,2
92,6
98,6
100,2
105,4
115,8
119,2
124,2
127,8
133,6
140,5
141,8
143,2
151,4
154,6
157,7
163,4
166,2
168,8
170,5
173,7
180,6
182,7
184,5
185,7
195,7
196,5
197,5
212,5
213,7
219,8
225,2
227,5
232,4
239,5
247,5
251,4
254,5
261,5
264,5
267,6
272,6
275,7
277,2
283,6
284,2
287,6
291,8
293,5
294,2
305,5
307,5
309,7
311,4
322,2
323,2
326,5
330,2
335,7
337,7
338,4
341,2
346,6
348,5
352,2
356,7
358,2
366,6
369,4
373,5
375,4
381,4
384,7
386,4
396,6
397,2
399,7
405,8
412,6
417,4
421,4
425,7
427,6
430,4
432,5
433,6
436,7
438,6
441,8
442,5
444,5
446,7
448,7
450,5
454,7
465,7
470,4
472,4
475,7
484,7
495,7
497,8
498,7
501,4
502,5
505,7
515,2
516,4
527,8
529,2
531,7
533,5
537,2
541,7
546,8
548,4
549,8
550,6
553,8
559,6
561,2
564,1
574,5
578,6
579,5
580,8
582,5
584,8
588,6
596,5
602,4
603,2
613,6
614,2
619,7
620,6
624,4
625,6
628,5
630,6
635,6
636,2
637,8
641,7
644,7
648,8
654,7
658,5
664,6
666,7
667,7
670,8
672,5
674,7
676,6
684,8
685,4
693,2
694,7
700,2
702,6
703,4
705,5
711,7
718,2
722,7
726,4
727,4
732,7
735,7
740,4
748,6
750,6
751,8
756,7
762,6
766,8
770,6
771,2
779,6
782,2
784,8
793,6
798,5
800,5
801,7
805,7
807,2
813,7
819,8
820,6
822,7
823,6
833,8
834,5
842,2
845,6
856,5
860,5
864,2
869,7
872,7
877,5
878,6
893,6
894,5
896,6
899,4
900,5
911,2
914,6
917,1
919,6
923,2
925,5
926,2
934,6
938,7
940,5
955,5
956,5
971,6
973,8
978,7
979,8
981,6
988,8
990,8
992,4
996,7
997,4
999,5
1000,8
1006,4
