Id,Response
1,4
3,6
4,5
9,6
12,7
13,7
21,7
28,7
30,5
36,7
38,8
43,6
45,5
48,7
50,5
51,6
54,6
55,6
59,7
62,4
63,8
66,7
69,8
82,8
83,5
84,6
86,7
89,8
90,3
92,6
98,6
100,3
105,4
115,8
119,4
124,3
127,7
133,6
140,5
141,8
143,3
151,4
154,7
157,7
163,4
166,3
168,8
170,6
173,7
180,5
182,7
184,4
185,7
195,6
196,6
197,4
212,5
213,7
219,8
225,3
227,4
232,5
239,5
247,5
251,5
254,5
261,6
264,6
267,7
272,7
275,7
277,4
283,6
284,3
287,6
291,8
293,5
294,3
305,5
307,6
309,7
311,4
322,4
323,5
326,5
330,4
335,7
337,7
338,4
341,4
346,5
348,5
352,4
356,8
358,4
366,6
369,4
373,5
375,5
381,4
384,7
386,5
396,6
397,3
399,6
405,8
412,7
417,4
421,4
425,7
427,7
430,5
432,5
433,6
436,7
438,7
441,8
442,6
444,4
446,7
448,6
450,6
454,7
465,7
470,4
472,4
475,7
484,7
495,7
497,8
498,7
501,4
502,6
505,7
515,3
516,6
527,8
529,3
531,7
533,5
537,4
541,7
546,7
548,5
549,8
550,7
553,7
559,6
561,4
564,2
574,5
578,7
579,6
580,8
582,4
584,8
588,5
596,4
602,4
603,4
613,6
614,4
619,7
620,6
624,5
625,7
628,4
630,5
635,6
636,4
637,8
641,7
644,7
648,8
654,7
658,5
664,7
666,6
667,7
670,8
672,6
674,7
676,7
684,7
685,5
693,4
694,7
700,4
702,6
703,4
705,6
711,7
718,3
722,7
726,5
727,4
732,8
735,7
740,5
748,6
750,6
751,8
756,7
762,6
766,8
770,6
771,4
779,6
782,4
784,7
793,5
798,5
800,6
801,6
805,7
807,5
813,7
819,7
820,6
822,8
823,7
833,8
834,5
842,4
845,6
856,5
860,5
864,3
869,7
872,7
877,5
878,7
893,6
894,6
896,6
899,4
900,7
911,1
914,6
917,2
919,7
923,2
925,6
926,4
934,6
938,7
940,5
955,4
956,6
971,6
973,8
978,7
979,8
981,6
988,7
990,7
992,4
996,7
997,4
999,4
1000,7
1006,6
