Id,Response
1,4
3,5
4,5
9,5
12,6
13,7
21,6
28,7
30,4
36,6
38,7
43,6
45,4
48,7
50,5
51,5
54,6
55,6
59,7
62,3
63,7
66,7
69,7
82,7
83,4
84,5
86,6
89,7
90,3
92,6
98,6
100,4
105,4
115,7
119,4
124,4
127,7
133,6
140,4
141,7
143,2
151,3
154,7
157,7
163,4
166,2
168,7
170,4
173,6
180,5
182,7
184,4
185,6
195,6
196,5
197,4
212,5
213,7
219,7
225,3
227,4
232,4
239,5
247,4
251,4
254,4
261,5
264,5
267,7
272,7
275,7
277,4
283,5
284,3
287,6
291,7
293,5
294,3
305,5
307,4
309,6
311,4
322,4
323,4
326,4
330,3
335,7
337,7
338,4
341,3
346,5
348,5
352,3
356,7
358,4
366,5
369,3
373,5
375,4
381,4
384,7
386,5
396,6
397,3
399,6
405,7
412,6
417,4
421,4
425,7
427,5
430,4
432,4
433,5
436,7
438,6
441,7
442,5
444,4
446,6
448,6
450,5
454,7
465,7
470,4
472,3
475,6
484,7
495,6
497,7
498,7
501,3
502,3
505,6
515,4
516,5
527,7
529,3
531,7
533,4
537,4
541,7
546,7
548,5
549,7
550,5
553,7
559,6
561,3
564,1
574,4
578,7
579,5
580,7
582,4
584,7
588,5
596,4
602,5
603,3
613,3
614,3
619,6
620,5
624,4
625,7
628,4
630,5
635,6
636,5
637,7
641,7
644,7
648,7
654,7
658,5
664,6
666,5
667,7
670,7
672,5
674,7
676,7
684,7
685,4
693,3
694,6
700,4
702,5
703,4
705,5
711,7
718,4
722,6
726,5
727,3
732,7
735,6
740,4
748,6
750,6
751,7
756,6
762,6
766,7
770,6
771,4
779,5
782,3
784,6
793,5
798,4
800,4
801,5
805,6
807,4
813,6
819,7
820,6
822,7
823,5
833,7
834,5
842,4
845,6
856,4
860,4
864,3
869,6
872,6
877,4
878,5
893,6
894,6
896,6
899,4
900,6
911,1
914,4
917,1
919,6
923,2
925,5
926,3
934,5
938,7
940,4
955,5
956,5
971,5
973,7
978,6
979,7
981,5
988,6
990,6
992,3
996,7
997,4
999,5
1000,6
1006,5
1009,3
1018,5
1025,4
1038,6
1042,5
1045,5
1046,7
1047,3
1050,4
1052,6
1054,7
1057,7
1061,4
1069,4
1071,5
1073,5
1074,7
1075,4
1083,4
1084,3
1089,4
1099,4
1103,4
1110,7
1123,7
1130,6
1135,5
1137,6
1145,7
1147,4
1152,7
1153,3
1154,7
1158,7
1166,6
1170,5
1172,6
1178,5
1179,7
1181,3
1182,6
1183,7
1191,6
1192,2
1200,3
1205,5
1207,6
1208,4
1209,4
1217,4
1223,7
1225,7
1226,4
1228,4
1230,4
1232,6
1235,7
1237,6
1257,6
1266,2
1267,5
1274,6
1277,6
1278,4
1280,7
1282,7
1293,4
1294,4
1305,7
1306,6
1311,6
1318,5
1320,5
1323,6
1325,3
1328,4
1336,4
1340,6
1341,7
1344,6
1345,6
1348,4
1358,1
1361,7
1364,4
1373,7
1377,5
1378,7
1380,5
1382,5
1383,4
1386,7
1387,2
1390,3
1395,6
1398,5
1402,3
1403,7
1405,7
1407,6
1410,2
1412,3
1419,4
1426,5
1428,7
1436,5
1437,2
1438,5
1441,7
1444,5
1448,3
1454,4
1457,5
1459,7
1463,6
1467,4
1471,5
1475,4
1476,3
1480,6
1481,4
1482,5
1489,3
1491,7
1494,7
1496,7
1500,7
1501,7
1503,6
1504,3
1505,5
1515,4
1517,4
1520,4
1521,4
1523,7
1526,7
1529,4
1530,6
1543,5
1544,7
1547,5
1550,7
1552,5
1554,5
1563,6
1574,5
1575,5
1576,4
1579,5
1582,3
1584,7
1585,6
1589,5
1596,5
1598,3
1611,5
1613,4
1615,5
1618,4
1627,5
1630,5
1638,7
1639,5
1640,7
1642,5
1645,4
1648,5
1654,5
1661,5
1662,5
1663,7
1666,4
1668,3
1670,3
1672,6
1681,5
1682,7
1683,2
1687,7
1688,6
1693,6
1694,6
1700,7
1704,6
1712,7
1716,7
1717,6
1722,4
1724,3
1738,1
1739,2
1740,7
1761,7
1763,6
1765,6
1766,6
1767,7
1771,5
1772,6
1777,6
1784,3
1799,5
1806,6
1810,2
1812,4
1814,4
1818,6
1819,6
1822,4
1823,7
1824,3
1834,5
1835,6
1844,4
1848,5
1849,7
1850,5
1851,4
1856,4
1862,2
1863,4
1872,4
1874,3
1875,7
1877,7
1900,6
1902,5
1904,5
1905,4
1908,7
1914,7
1916,4
1922,3
1933,5
1934,5
1939,4
1942,3
1947,7
1957,7
1971,7
1973,4
1974,5
1977,6
1981,5
1985,7
1987,5
1989,5
2001,4
2002,3
2007,3
2008,7
2011,5
2021,6
2034,6
2040,6
2044,3
2045,7
2048,6
2051,7
2062,6
2066,2
2068,5
2069,3
2074,7
2075,7
2078,6
2079,1
2080,3
2081,4
2084,2
2085,6
2087,6
2096,5
2102,4
2103,5
2107,7
2117,5
2118,3
2120,5
2121,4
2122,4
2130,7
2136,3
2138,7
2140,7
2143,6
2144,4
2145,4
2147,7
2150,4
2154,7
2155,2
2166,4
2169,3
2173,5
2176,2
2178,6
2179,4
2180,6
2184,7
2185,7
2188,4
2190,6
2194,6
2195,5
2198,4
2205,7
2206,6
2207,3
2212,6
2213,4
2216,7
2218,2
2224,7
2225,7
2228,7
2236,5
2242,7
2246,5
2250,7
2255,6
2256,2
2267,5
2268,6
2269,5
2272,5
2275,4
2280,7
2282,7
2287,6
2289,7
2293,7
2296,6
2307,4
2309,4
2313,5
2325,4
2327,6
2336,3
2339,5
2342,6
2347,7
2350,6
2360,5
2364,6
2369,2
2379,4
2394,4
2395,3
2399,7
2402,6
2410,7
2416,6
2420,6
2427,5
2434,7
2435,6
2441,5
2447,4
2452,5
2463,5
2467,4
2468,7
2470,6
2476,6
2483,2
2487,3
2492,6
2502,7
2504,5
2510,7
2511,1
2512,6
2517,6
2520,6
2521,7
2523,5
2524,5
2525,4
2526,5
2528,7
2530,3
2532,3
2536,4
2540,5
2541,6
2543,5
2549,6
2550,2
2556,3
2557,6
2559,6
2565,7
2566,7
2567,3
2568,4
2570,7
2573,7
2577,5
2578,6
2583,3
2586,4
2587,3
2588,6
2591,7
2597,7
2606,5
2607,7
2608,7
2611,2
2612,6
2613,7
2616,7
2621,7
2622,6
2634,7
2639,7
2642,3
2644,5
2650,3
2655,7
2664,6
2667,4
2670,5
2679,3
2681,5
2683,6
2685,7
2687,7
2696,4
2699,5
2712,2
2716,7
2720,6
2725,5
2726,7
2731,4
2733,7
2740,7
2742,5
2748,4
2749,7
2763,6
2771,7
2772,4
2773,4
2783,7
2784,7
2789,3
2796,3
2798,5
2799,7
2800,5
2802,7
2805,5
2809,5
2816,5
2817,6
2821,5
2822,7
2829,5
2832,4
2842,5
2844,6
2846,5
2851,5
2852,5
2853,7
2856,6
2862,4
2866,5
2868,5
2886,7
2892,5
2893,5
2898,6
2917,3
2923,3
2927,5
2930,7
2931,2
2935,6
2936,4
2961,3
2964,6
2967,6
2968,6
2970,6
2977,4
2978,6
2979,7
2985,5
2986,3
2989,4
2997,4
2999,7
3004,7
3008,5
3010,4
3020,7
3022,7
3024,6
3027,6
3032,7
3033,7
3048,3
3053,5
3056,7
3070,6
3071,2
3073,6
3080,7
3098,7
3099,4
3109,6
3110,7
3115,1
3121,6
3128,6
3132,1
3133,3
3141,6
3144,4
3145,4
3154,4
3159,5
3164,2
3168,3
3172,4
3176,5
3186,3
3193,5
3196,6
3199,3
3200,6
3209,7
3210,7
3214,5
3229,5
3230,6
3233,7
3242,3
3244,2
3249,4
3251,4
3253,3
3264,4
3271,3
3272,7
3274,4
3276,3
3280,4
3282,5
3285,7
3297,5
3298,7
3307,4
3309,6
3310,7
3312,5
3314,7
3315,3
3316,5
3319,5
3322,7
3327,6
3332,5
3334,7
3336,2
3338,6
3340,4
3343,3
3352,6
3353,7
3356,7
3357,7
3360,5
3365,7
3366,6
3367,7
3369,7
3374,4
3376,4
3381,7
3385,4
3386,6
3397,6
3403,4
3409,4
3414,7
3415,6
3423,6
3427,3
3428,6
3439,4
3441,6
3442,3
3447,6
3453,6
3456,3
3458,4
3459,5
3462,6
3464,7
3477,6
3480,5
3483,7
3490,4
3497,6
3498,7
3500,4
3504,5
3509,2
3510,6
3511,6
3525,4
3528,6
3529,2
3531,4
3532,7
3536,6
3537,3
3538,5
3547,4
3557,5
